year,product_hs,product,partner_code,partner_name,tons,value_usd
2005,252310,clinker,100,100,2985.0,176017
2005,252310,clinker,300,300,2800.0,96600
2005,252310,clinker,430,430,3900.0,134550
2005,252310,clinker,686,Senegal,109600.0,4055200
2005,252310,clinker,196,196,36060.0,1496493
2005,252310,clinker,566,566,13000.0,442000
2005,252310,clinker,124,124,22977.0,574425
2005,252310,clinker,384,CotedIvoire,208150.0,7399600
2005,252310,clinker,376,Israel,93230.0,3659144
2005,252310,clinker,440,440,7100.0,226490
2005,252310,clinker,276,276,2.369,143
2005,252310,clinker,380,380,1130084.0,39371990
2005,252310,clinker,4,4,525.0,15750
2005,252310,clinker,8,Albania,141723.0,5415604
2005,252310,clinker,724,Spain,1122769.0,39843052
2005,252310,clinker,120,Cameroon,21000.0,609000
2005,252310,clinker,478,Mauritania,52550.0,1886900
2005,252310,clinker,838,838,21910.0,1542635
2006,252310,clinker,100,100,20600.0,1142815
2006,252310,clinker,384,CotedIvoire,133585.0,5859963
2006,252310,clinker,268,268,19393.0,1065600
2006,252310,clinker,795,795,73.33,8930
2006,252310,clinker,288,Ghana,38850.0,1651125
2006,252310,clinker,686,Senegal,72800.0,3529600
2006,252310,clinker,724,Spain,293270.0,13197600
2006,252310,clinker,478,Mauritania,51050.0,2395225
2006,252310,clinker,300,300,9830.0,747688
2006,252310,clinker,620,620,44000.0,1914000
2006,252310,clinker,8,Albania,125800.0,5568900
2006,252310,clinker,768,Togo,31000.0,1317500
2006,252310,clinker,208,208,1.0,863
2006,252310,clinker,196,196,85130.0,3892510
2006,252310,clinker,31,31,58798.0,3308717
2006,252310,clinker,276,276,2.7,1702
2006,252310,clinker,376,Israel,17950.0,771875
2006,252310,clinker,694,694,30000.0,1275000
2006,252310,clinker,498,498,0.5,138
2006,252310,clinker,380,380,424354.0,19270263
2006,252310,clinker,430,430,28000.0,1190000
2006,252310,clinker,577,577,25000.0,1062500
2006,252310,clinker,251,251,23800.0,1010500
2006,252310,clinker,838,838,26692.975,2340061
2007,252310,clinker,380,380,400530.0,23627177
2007,252310,clinker,504,Morocco,41650.0,2290731
2007,252310,clinker,276,276,3.85,827
2007,252310,clinker,642,Romania,24150.11,1255973
2007,252310,clinker,724,Spain,121640.0,6614700
2007,252310,clinker,620,620,152323.0,7911712
2007,252310,clinker,430,430,19500.0,1267500
2007,252310,clinker,643,643,8950.0,569700
2007,252310,clinker,31,31,192638.0,12100838
2007,252310,clinker,688,688,9.493,1482
2007,252310,clinker,100,100,16488.7,1389570
2007,252310,clinker,478,Mauritania,24750.0,1287000
2007,252310,clinker,804,804,56595.0,3086000
2007,252310,clinker,300,300,35970.0,2757473
2007,252310,clinker,368,368,20.0,4390
2007,252310,clinker,686,Senegal,107000.0,5502000
2007,252310,clinker,268,268,238809.85,13812709
2007,252310,clinker,120,Cameroon,38741.0,1939632
2007,252310,clinker,838,838,24843.35,2307381
2007,252310,clinker,260,260,34675.0,1803100
2008,252310,clinker,196,196,30396.06,1960543
2008,252310,clinker,268,268,404815.75,26924518
2008,252310,clinker,288,Ghana,305200.0,15324196
